Season,TotalGoals
2012/2013,2.4916666666666667
2013/2014,2.6554054054054053
2014/2015,2.668918918918919
2015/2016,2.6283783783783785
2016/2017,2.7432432432432434
2017/2018,2.6385135135135136
2018/2019,2.7804054054054053
2019/2020,2.5912162162162162
2020/2021,2.4541666666666666
2021/2022,2.673202614379085
2022/2023,2.477124183006536
2023/2024,2.689542483660131
2024/2025,2.7549019607843137
